Population: 400
Percentage of population that is vaccinated: 0.9
Virus Name: Ebola
Virus Mortality Rate: 0.7
Virus Reproduction Rate: 0.25
Time step 0 ended, beginning 1
1 didn't infect 399 because vaccinated 
1 didn't infect 333 because vaccinated 
1 didn't infect 20 because vaccinated 
1 didn't infect 386 because vaccinated 
1 didn't infect 15 because vaccinated 
1 didn't infect 126 because vaccinated 
1 didn't infect 102 because vaccinated 
1 didn't infect 10 because vaccinated 
1 didn't infect 318 because vaccinated 
1 didn't infect 78 because vaccinated 
1 didn't infect 122 because vaccinated 
1 didn't infect 64 because vaccinated 
1 didn't infect 242 because vaccinated 
1 didn't infect 342 because vaccinated 
1 didn't infect 58 because vaccinated 
1 didn't infect 111 because vaccinated 
1 didn't infect 238 because vaccinated 
1 didn't infect 358 because vaccinated 
1 didn't infect 131 because vaccinated 
1 didn't infect 392 because vaccinated 
1 didn't infect 188 because vaccinated 
1 didn't infect 85 because vaccinated 
1 didn't infect 310 because vaccinated 
1 didn't infect 310 because vaccinated 
1 didn't infect 382 because vaccinated 
1 didn't infect 367 because vaccinated 
2 didn't infect 58 because vaccinated 
2 didn't infect 83 because vaccinated 
2 didn't infect 159 because vaccinated 
2 didn't infect 55 because vaccinated 
2 didn't infect 296 because vaccinated 
2 didn't infect 13 because vaccinated 
2 didn't infect 159 because vaccinated 
2 didn't infect 294 because vaccinated 
2 didn't infect 346 because vaccinated 
2 didn't infect 192 because vaccinated 
2 didn't infect 203 because vaccinated 
2 infects 101 
2 didn't infect 353 because vaccinated 
2 didn't infect 321 because vaccinated 
2 didn't infect 124 because vaccinated 
2 didn't infect 52 because vaccinated 
2 didn't infect 356 because vaccinated 
2 didn't infect 395 because vaccinated 
2 didn't infect 350 because vaccinated 
2 didn't infect 307 because vaccinated 
2 didn't infect 61 because vaccinated 
2 didn't infect 289 because vaccinated 
2 didn't infect 21 because vaccinated 
2 didn't infect 177 because vaccinated 
2 didn't infect 272 because vaccinated 
2 didn't infect 189 because vaccinated 
2 didn't infect 35 because vaccinated 
2 didn't infect 259 because vaccinated 
2 didn't infect 6 because vaccinated 
2 didn't infect 215 because vaccinated 
2 didn't infect 250 because vaccinated 
2 didn't infect 54 because vaccinated 
2 didn't infect 221 because vaccinated 
2 didn't infect 185 because vaccinated 
2 didn't infect 325 because vaccinated 
2 didn't infect 235 because vaccinated 
2 didn't infect 362 because vaccinated 
2 didn't infect 78 because vaccinated 
2 didn't infect 222 because vaccinated 
2 didn't infect 90 because vaccinated 
2 didn't infect 375 because vaccinated 
2 didn't infect 267 because vaccinated 
2 didn't infect 333 because vaccinated 
2 didn't infect 138 because vaccinated 
2 didn't infect 275 because vaccinated 
2 didn't infect 396 because vaccinated 
2 didn't infect 247 because vaccinated 
2 didn't infect 238 because vaccinated 
2 didn't infect 223 because vaccinated 
2 didn't infect 374 because vaccinated 
2 didn't infect 165 because vaccinated 
2 didn't infect 125 because vaccinated 
2 didn't infect 44 because vaccinated 
2 didn't infect 142 because vaccinated 
2 didn't infect 230 because vaccinated 
2 didn't infect 124 because vaccinated 
2 didn't infect 384 because vaccinated 
2 didn't infect 237 because vaccinated 
2 didn't infect 291 because vaccinated 
2 didn't infect 312 because vaccinated 
2 didn't infect 342 because vaccinated 
2 didn't infect 194 because vaccinated 
2 didn't infect 172 because vaccinated 
2 didn't infect 14 because vaccinated 
2 didn't infect 253 because vaccinated 
2 didn't infect 166 because vaccinated 
2 didn't infect 93 because vaccinated 
2 didn't infect 249 because vaccinated 
2 didn't infect 108 because vaccinated 
2 didn't infect 181 because vaccinated 
2 didn't infect 132 because vaccinated 
2 didn't infect 305 because vaccinated 
2 didn't infect 141 because vaccinated 
2 didn't infect 284 because vaccinated 
2 didn't infect 5 because vaccinated 
2 didn't infect 264 because vaccinated 
2 didn't infect 43 because vaccinated 
2 didn't infect 123 because vaccinated 
2 didn't infect 368 because vaccinated 
2 didn't infect 208 because vaccinated 
2 didn't infect 250 because vaccinated 
2 didn't infect 284 because vaccinated 
2 didn't infect 388 because vaccinated 
2 didn't infect 123 because vaccinated 
2 didn't infect 353 because vaccinated 
2 didn't infect 243 because vaccinated 
2 didn't infect 330 because vaccinated 
2 didn't infect 364 because vaccinated 
2 didn't infect 251 because vaccinated 
2 didn't infect 229 because vaccinated 
2 didn't infect 8 because vaccinated 
2 didn't infect 47 because vaccinated 
2 didn't infect 150 because vaccinated 
2 didn't infect 113 because vaccinated 
2 didn't infect 207 because vaccinated 
2 didn't infect 354 because vaccinated 
2 didn't infect 124 because vaccinated 
2 didn't infect 156 because vaccinated 
2 didn't infect 339 because vaccinated 
2 didn't infect 297 because vaccinated 
2 didn't infect 188 because vaccinated 
3 didn't infect 242 because vaccinated 
3 didn't infect 283 because vaccinated 
3 didn't infect 271 because vaccinated 
3 didn't infect 176 because vaccinated 
3 didn't infect 217 because vaccinated 
3 didn't infect 381 because vaccinated 
3 didn't infect 281 because vaccinated 
3 didn't infect 169 because vaccinated 
3 didn't infect 180 because vaccinated 
3 didn't infect 359 because vaccinated 
3 didn't infect 156 because vaccinated 
3 didn't infect 128 because vaccinated 
3 didn't infect 118 because vaccinated 
3 didn't infect 61 because vaccinated 
3 didn't infect 369 because vaccinated 
3 didn't infect 98 because vaccinated 
3 didn't infect 161 because vaccinated 
